,"['p38', 'SMAD']","['FOXO3', 'GADD45']","['JNK', 'BCL2']","['CREB', 'TGFBR']","['SOS', 'MEK1_2']","['TAK1', 'p14']","['MTK1', 'p14']","['FRS2', 'GRB2']","['AKT', 'SPRY']","['PTEN', 'FOS']","['JNK', 'p53']","['SOS', 'ERK']","['SOS', 'PPP2CA']","['BCL2', 'RAF']","['JNK', 'TGFBR']","['p70', 'FOS']","['MEK1_2', 'RAS']","['PI3K', 'MDM2']","['MSK', 'MAP3K1_3']","['MYC', 'PI3K']","['ATM', 'AP1']","['PKC', 'MYC']","['PKC', 'ATF2']","['TGFBR', 'ATM']","['PKC', 'PTEN']","['ATF2', 'GADD45']","['GRB2', 'PKC']","['p53', 'MYC']","['TGFBR', 'FGFR3']","['SOS', 'p14']","['DUSP1', 'FGFR3']","['TAK1', 'p14']","['SOS', 'MTK1']","['ATF2', 'MSK']","['RAF', 'EGFR']","['SPRY', 'CREB']","['SOS', 'MTK1']","['SPRY', 'MYC']","['TGFBR', 'PLCG']","['MEK1_2', 'FRS2']","['FOXO3', 'MDM2']","['TAOK', 'MEK1_2']","['SPRY', 'p53']","['PTEN', 'AP1']","['MAP3K1_3', 'PLCG']","['PKC', 'FOS']","['PPP2CA', 'MTK1']","['AKT', 'TGFBR']","['PLCG', 'FRS2']","['CREB', 'MEK1_2']","['PDK1', 'p70']","['RSK', 'p14']","['SPRY', 'FOS']","['p14', 'GADD45']","['PDK1', 'ATM']","['p70', 'TAK1']","['PTEN', 'AP1']","['ATM', 'PI3K']","['TGFBR', 'PDK1']","['ATF2', 'DUSP1']","['RAF', 'PDK1']","['MSK', 'AKT']","['MYC', 'ATF2']","['MAP3K1_3', 'CREB']","['p14', 'GRB2']","['p70', 'FGFR3']","['ERK', 'SOS']","['p53', 'ATF2']","['MAP3K1_3', 'JUN']","['MSK', 'MAP3K1_3']","['ERK', 'FGFR3']","['AP1', 'FOXO3']","['ATM', 'p38']","['JUN', 'GRB2']","['EGFR', 'ERK']","['ERK', 'GADD45']","['MTK1', 'GADD45']","['DUSP1', 'TAOK']","['TAK1', 'TGFBR']","['MDM2', 'MEK1_2']","['MSK', 'MAX']","['GRB2', 'ATF2']","['TGFBR', 'p70']","['MAP3K1_3', 'RAS']","['ATF2', 'TAK1']","['TGFBR', 'p70']","['p38', 'MDM2']","['CREB', 'GAB1']","['TAK1', 'p21']","['ERK', 'MTK1']","['MAX', 'PI3K']","['GRB2', 'SOS']","['PI3K', 'FOS']","['MTK1', 'SOS']","['MAP3K1_3', 'MDM2']","['MAX', 'MTK1']","['PI3K', 'PTEN']","['p38', 'FRS2']","['BCL2', 'AP1']","['ATM', 'ATF2']"
MYC,C3,C2,C3,C2,C3,C1,C1,C3,C2,C2,C3,C3,C3,C3,C2,C3,C3,C1,C2,C2,C3,C2,C3,C2,C3,C1,C3,C2,C2,C1,C3,C1,C2,C3,C3,C3,C3,C2,C2,C3,C3,C3,C1,C3,C3,C3,C2,C2,C3,C3,C3,C1,C3,C1,C1,C3,C2,C3,C3,C3,C3,C2,C3,C3,C1,C3,C3,C1,C3,C2,C3,C3,C1,C3,C3,C3,C2,C3,C3,C1,C2,C3,C2,C3,C3,C3,C1,C3,C1,C2,C3,C3,C3,C3,C1,C2,C3,C2,C3,C3
p21,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3
SPRY,C3,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C0,C1,C1,C0,C1,C1,C0,C0,C0,C0,C1,C0,C1,C0,C0,C0,C1,C0,C1,C0,C1,C1,C1,C0,C0,C1,C0,C1,C1,C0,C0,C1,C0,C0,C0,C0,C1,C1,C1,C1,C0,C1,C1,C1,C1,C0,C1,C1,C0,C1,C0,C0,C1,C1,C1,C0,C1,C1,C1,C1,C0,C1,C1,C1,C0,C1,C0,C0,C0,C1,C0,C1,C1,C1,C1,C1,C0,C1,C0,C0,C1,C1,C0,C1,C1
BCL2,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1
MSK,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C2,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C3,C2,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1
SOS,C1,C2,C1,C1,C1,C2,C2,C1,C1,C1,C1,C1,C1,C1,C1,C1,C2,C3,C0,C2,C1,C1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C2,C2,C1,C1,C1,C1,C1,C1,C3,C1,C1,C0,C1,C1,C1,C2,C1,C2,C3,C1,C1,C1,C2,C0,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C0,C1,C1,C1,C0,C1,C1,C1,C2,C0,C1,C1,C1,C2,C1,C0,C1,C1,C1,C1,C2,C2,C1,C1,C1,C3,C0,C2,C1,C3,C1,C1
ATF2,C0,C0,C1,C0,C1,C0,C0,C0,C0,C0,C1,C0,C1,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0
RAF,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0
p38,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3
DUSP1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1
PTEN,C1,C1,C1,C0,C1,C1,C1,C1,C0,C3,C1,C1,C1,C1,C0,C1,C1,C1,C1,C2,C1,C1,C1,C0,C1,C1,C1,C2,C0,C1,C1,C1,C1,C1,C1,C1,C1,C2,C0,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C3,C0,C1,C1,C0,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1
GADD45,C3,C1,C3,C1,C3,C3,C0,C3,C3,C3,C1,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C1,C3,C3,C3,C1,C3,C3,C3,C3,C3,C1,C3,C3,C1,C1,C3,C1,C3,C1,C1,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C0,C1,C3,C3,C3,C3,C1,C3,C3,C3,C1,C3,C3,C0,C3,C1,C3,C0,C3,C1,C3,C3,C3,C3
MTK1,C3,C1,C3,C1,C3,C3,C1,C3,C3,C3,C1,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C1,C3,C3,C3,C1,C3,C3,C3,C3,C3,C1,C3,C3,C1,C1,C3,C1,C3,C1,C1,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C1,C1,C3,C3,C3,C3,C1,C3,C3,C3,C1,C3,C3,C1,C3,C1,C3,C1,C3,C1,C3,C3,C3,C3
AP1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C3,C1,C2,C1,C1,C0,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C2,C1,C1,C0,C0,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C1,C0,C1,C3,C1,C1,C0,C1,C1,C1,C1,C1,C1,C0,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1
PKC,C1,C0,C0,C0,C1,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0
EGFR,C3,C2,C2,C1,C2,C2,C2,C2,C2,C2,C1,C2,C2,C1,C1,C1,C1,C2,C0,C2,C2,C1,C1,C1,C1,C2,C1,C2,C1,C1,C1,C2,C1,C2,C1,C2,C2,C2,C0,C1,C2,C0,C1,C2,C1,C1,C2,C1,C0,C1,C1,C2,C2,C2,C1,C1,C2,C2,C2,C2,C1,C2,C2,C0,C2,C1,C1,C2,C1,C2,C1,C2,C1,C2,C2,C1,C2,C1,C2,C1,C2,C1,C1,C0,C2,C1,C2,C2,C2,C2,C2,C1,C2,C1,C0,C2,C2,C1,C2,C2
MAX,C1,C0,C1,C0,C1,C0,C0,C1,C0,C0,C1,C1,C1,C1,C0,C1,C1,C0,C0,C0,C1,C1,C1,C0,C1,C0,C1,C0,C0,C0,C1,C0,C0,C1,C1,C1,C1,C0,C0,C1,C1,C1,C0,C1,C1,C1,C0,C0,C1,C1,C1,C0,C1,C0,C1,C1,C0,C1,C1,C1,C1,C0,C0,C1,C0,C1,C1,C0,C1,C0,C1,C1,C0,C1,C1,C1,C0,C1,C1,C0,C0,C1,C0,C1,C1,C1,C0,C1,C0,C0,C1,C1,C1,C1,C0,C0,C1,C0,C1,C1
ELK1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0
CREB,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1
PDK1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
p53,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C2,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3
FOXO3,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
FOS,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C1,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0,C0
ERK,C2,C2,C3,C2,C3,C2,C2,C2,C3,C3,C3,C3,C2,C2,C2,C1,C3,C2,C3,C3,C2,C2,C2,C2,C3,C2,C2,C3,C2,C3,C2,C2,C2,C2,C2,C2,C2,C2,C2,C3,C2,C3,C2,C3,C2,C2,C2,C2,C2,C3,C1,C3,C2,C2,C2,C1,C3,C2,C2,C2,C2,C3,C2,C2,C3,C1,C3,C2,C2,C3,C3,C2,C3,C2,C3,C3,C2,C2,C2,C3,C2,C2,C1,C2,C2,C1,C3,C2,C3,C3,C2,C2,C2,C2,C3,C2,C2,C3,C2,C2
p14,C3,C1,C3,C1,C3,C0,C1,C3,C1,C1,C3,C3,C3,C3,C1,C3,C3,C0,C1,C1,C3,C1,C3,C1,C3,C0,C3,C1,C1,C1,C3,C0,C1,C3,C3,C3,C3,C1,C1,C3,C3,C3,C0,C3,C3,C3,C1,C1,C3,C3,C3,C1,C3,C0,C1,C3,C1,C3,C3,C3,C3,C1,C3,C3,C1,C3,C3,C0,C3,C1,C3,C3,C0,C3,C3,C3,C1,C3,C3,C0,C1,C3,C1,C3,C3,C3,C1,C3,C0,C1,C3,C3,C3,C3,C1,C1,C3,C1,C3,C3
TGFBR,C3,C3,C3,C1,C3,C0,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C0,C3,C3,C1,C3,C3,C0,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C0,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C1,C3,C3,C3,C3,C3,C0,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3,C3
PLCG,C1,C1,C1,C1,C1,C1,C1,C2,C1,C1,C0,C1,C1,C1,C1,C1,C0,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C0,C1,C3,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C0,C1,C1,C1,C0,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C0,C1,C1,C1,C1,C1
